INFO  - 2019-12-09 08:53:16.948; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:53:16.970; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 08:53:35.374; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:53:35.404; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 08:53:54.462; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:53:54.486; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 08:55:14.379; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:55:14.404; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 08:56:50.516; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:56:50.540; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 08:57:38.841; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:57:38.872; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
INFO  - 2019-12-09 09:02:11.921; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:02:11.942; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@78c03f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ec0a365, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5383967b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ac273d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71423665]
